id,Timestamp,city,country,gender,age,educstat,digitools,bestproject,industry,careerstg,worksame,workcity,salary,typework,sitework,datarole,restofrole,sizeteam,ingestion,transform,warehs,orchest,busint,reversetl,dataqual,datacatalog,cloudplat,noncloudplat,generaltools,whatused,useai,hostedntbk,hardware,depwebsite,depwebres,otherfb,spneeds,volunteer,comms,successmethod,employertype
2024026,45546.86111,"Mandaluyong, Philippines",Philippines,Male,35,Master's degree,"Brilliant, Kaggle Online course, Power Up Program, Udemy, Zoomcamp",Predictive Analytics ,Healthcare,Professional,Work city different from residence,Taguig City,"100,001 to 125,000",Full-time,Mostly work from home/ fully remote,Data Analyst,Data Scientist,4 to 5,Don't know,Pandas,AWS Redshift,Airflow,"Metabase, Power BI",None,None,None,"Amazon Web Services (AWS), Microsoft Azure",None,"Excel, Google Drive, OneDrive, Monday.com, MS Teams","DAX (Power BI), M language (Power Query), Python, R, SQL",Chatgpt,Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AI Pilipinas, Analytics Association of the Philippines, Power Apps Pilipinas Community, Power BI Philippines UG",Network,"Answer surveys, Resource for specific topic",None,Headhunter,Multinational employer
2024028,45546.86806,"Santa Maria, Bulacan, Philippines",Philippines,Female,45,College degree,"Codecademy, Datacamp, edX, Freecodecamp, Git Hub Learning Lab, Google Cloudskills Boost, Google Developers, LinkedIn Learning, MicrosoftLearn, Real Python, W3Schools","AI Glitch - Hackathon, and Power BI Business Intelligence with POWER BI End-to-End Solutions with capstone project course conducted by DataSense Analytics.
",Own Business/ Consultancy/Freelance,Professional,Work city same as residence,"Santa Maria, Bulacan, Philippines","15,001 to 25,000",Full-time,100% onsite,Management,Business Analyst,2 to 3,Google sheets,Google sheets,None,None,None,None,None,None,Google Cloud Platform (GCP),None,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","Appscript (Google), Python, SQL",Chatgpt,"Colab Notebooks, Google Cloud Vertex AI Workbench, Databricks Collaborative Notebooks, Replit",desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Datasense Philippines, FTW Foundation, Power BI Philippines UG, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Joint initiative with other groups, Mentor, Regularly post content, Co-training/ Training, Volunteer for group initiatives","None. I am still learning, so I just follow.",N/A,Local employer
2024029,45546.87222,"Makati, Philippines",Philippines,Prefer not to say,23,College degree,"Datacamp, W3Schools",VBA Macro to automate some work deliverables,"IT, BPO, and Business Services",Student/ new grad/ Career break (Skip to General Tools Section),,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","SQL, VBA","Chatgpt, Gemini",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",None,"Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Volunteer for group initiatives",,,Local employer
2024030,45546.87569,"Quezon City, Philippines",Philippines,Male,22,College degree,"Datacamp, Freecodecamp, W3Schools","Monthly budget calculator. Self project - On going. I use it to learn python function, libraries, and methods. Practicing clean coding.",Not working,Student/ new grad/ Career break (Skip to General Tools Section),,,,,,,,,,,,,,,,,,,Excel,Python,Chatgpt,Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Power BI Philippines UG","Continued learning, Upskill / Skill acquisition, Network",Answer surveys,,,
2024032,45546.88403,"Quezon City, Philippines",Philippines,Male,,College degree,MicrosoftLearn,learning python and creating snowflake notebooks,Healthcare,Professional,Work city different from residence,BGC,"100,001 to 125,000",Full-time,Hybrid,Data Engineer,"Data Analyst, Analytics Engineer, Developer",1 - Just me,Snowflake and Alteryx,Pandas,Snowflake,Don't know,Power BI,Don't know,Don't know,None,"Microsoft Azure, Snowflake",None,"Excel, OneDrive, MS Teams","Python, SQL","No, I do not use AI currently",Snowflake Notebook,laptop,"No, I just found out now.",,"Data Analytics Philippines, Data Science Philippines","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,,LinkedIn,Multinational employer
2024034,45546.89236,Las Pi?Ïas,Philippines,Female,25,College degree,"AWS Cloud Certification, Cisco, Datacamp, edX, Freecodecamp",Tableau integration of my company's Dashboards with push notification alert,"IT, BPO, and Business Services",Professional,Work city different from residence,"Cologne, Germany","55,001 to 65,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Data Scientist, Business Analyst, Developer",4 to 5,Adjust,"Pandas, Spark","Databricks, AWS Redshift","Airflow, Heroku",Tableau,Don't know,None,Don't know,Amazon Web Services (AWS),PostgreSQL,"Google sheets, Excel, Google Drive, Asana, Google Meet, Slack","Javascript, SQL, HTML, PHP","Chatgpt, Copilot, Gemini",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines, Eskwelabs Data Science Aral-Aral Group, FTW Foundation, Programmers,Developers, Project SPARTA","Career advancement, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Resource for specific topic, Volunteer for group initiatives",A lot of the conversations in FB messenger and Discord is all over the place. What I think would help would be similar to Slack threads. Encouraging the use of that method would consolidate topics into one thread so that it is easy to search and to respond to without getting a huge bulk of messages ,LinkedIn,Multinational employer
2024038,45546.89861,"Antipolo City, Philippines",Philippines,Male,24,College degree,Datacamp,Automatic plotting of street network for a selected city using OSMnx and Matplotlib,Research,Career shifter,Work city different from residence,Quezon City,"15,001 to 25,000",Full-time,100% onsite,GIS Specialist,"Data Analyst, Academic",2 to 3,None,Pandas,None,None,None,None,None,None,Microsoft Azure,None,"Google sheets, Excel, Google Drive, Zoom, Google Meet","Python, SQL","Chatgpt, Gemini",VS Code,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",None,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Answer surveys,,My network  - people I know,Local employer
2024039,45546.89861,"Davao City, Philippines",Philippines,Male,35,Other - specify,"Coursera, Datacamp, Kaggle Online course, LinkedIn Learning, Real Python, Udemy",still learning machine learning,Not working,Career shifter,Work city different from residence,Davao City,"15,001 to 25,000",Other - specify,Mostly work from home/ fully remote,NA,"Data Engineer, Data Analyst, Data Scientist, Business Analyst, Machine Learning Engineer, AI Engineer",1 - Just me,None,"Pandas, Spark",Big Query,None,"Looker, Power BI, Tableau",None,None,None,Google Cloud Platform (GCP),SQLite,"Google sheets, Excel, Google Drive, OneDrive, Google Meet","Python, R","Chatgpt, Copilot, Gemini","Kaggle Notebooks, Colab Notebooks, PythonAnywhere Jupyter Notebook",desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Power BI Philippines UG, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Resource for specific topic","So far, having different chat groups to cater to specific development needs is quintessential.","LinkedIn, OnlineJobs.ph",NA
2024040,45546.91042,"Batangas, Philippines",Philippines,Female,22,College degree,"Cisco, Coursera, Datacamp, MicrosoftLearn, Udemy, W3Schools",I did a payroll system with GUI using JAVA for a school project. ,Not working,Student/ new grad/ Career break (Skip to General Tools Section),,,,,,,,,,,,,,,,,,,"Google sheets, Google Drive, Google Meet, Discord",,"Chatgpt, Copilot",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",None,"Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Volunteer for group initiatives",,,N/A
2024042,45546.96944,"Bulacan, Philippines",Philippines,Female,27,College degree,Datacamp,Employee Sentiment Analysis,"IT, BPO, and Business Services",Career shifter,Work city different from residence,Quezon City,"65,001 to 75,000",Full-time,Mostly work from home/ fully remote,Business Analyst,Data Analyst,2 to 3,Don't know,Don't know,Azure Synapse,Don't know,Power BI,Don't know,None,Don't know,Microsoft Azure,SQL Server,"Excel, OneDrive, MS Teams","Python, SQL",Chatgpt,"Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.",,FTW Foundation,Upskill / Skill acquisition,"Answer surveys, Volunteer for group initiatives",,Jobstreet,Multinational employer
2024045,45547.00347,"Laguna, Philippines",Philippines,Male,24,College degree,"Datacamp, SoloLearn, W3Schools, Youtube bootcamp",Textual and Numerical Analysis of APPL stock using NLP sentiment analysi and NeuralProphet,Not working,Student/ new grad/ Career break (Skip to General Tools Section),,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), M language (Power Query), Python, SQL","Chatgpt, Gemini","Kaggle Notebooks, Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, Data Science Manila, Power BI Philippines UG, Project SPARTA, PyData Philippines, SPARTA PH: Data Engineer","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Volunteer for group initiatives",,,
2024047,45547.04375,"Quezon City, Philippines",Philippines,Female,34,College degree,"Coursera, Freecodecamp, Google Cloudskills Boost, Udacity, Udemy, Physical copies of OReilly books, YouTube (short videos)","Automated invoicing via Google Apps Script, setting up dbt-metabase",Healthcare,Freelance but going back to employee,Work city same as residence,Quezon City,"125,001 to 250, 000",Full-time,Mostly work from home/ fully remote,Analytics Engineer,"Business Analyst, Analytics Engineer, Developer",2 to 3,"Airbyte, Stitch","Pandas, dbt",Big Query,None,Metabase,Mixpanel,Elementary,Just dbt-metabase + dbt docs for now,Google Cloud Platform (GCP),None,"Google sheets, Google Drive, Zoom, Slack, Linear, Github","Appscript (Google), Javascript, Python, SQL","No, I do not use AI currently","Colab Notebooks, Hex Workspaces",laptop,"No, I just found out now.","No, I just browsed through.",None,"Found this on LinkedIn, I rarely open Facebook","Answer surveys, Resource for specific topic, Volunteer for group initiatives",,"LinkedIn, Slack communities",Independent contractor
2024052,45547.3875,"Taguig, Philippines",Philippines,Male,,College degree,"AWS Cloud Certification, Cisco, Coursera, edX, Google Cloudskills Boost, IBM Skills Gateway, LinkedIn Learning, MicrosoftLearn, Udemy","Successfully developed an online facial analysis application using PHP Laravel 11, Python, MySQL, AWS services (like EC2, Lambda, EIP, and S3), OpenAI API and Google Gemini.","IT, BPO, and Business Services",Professional,Work city same as residence,"BGC, Taguig","125,001 to 250, 000",Full-time,Hybrid,Management,"Management, Data Engineer, Data Analyst, Business Analyst, Software Engineer, Cloud Architect, Product Advocate, Developer",4 to 5,SSIS,SSIS,,,Qlikview,,,,"Amazon Web Services (AWS), Microsoft Azure",MySQL,"Excel, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Telegram, WhatsApp, Viber, Sharepoint, Jira",,"Chatgpt, Gemini",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Community: SPARTA PH, DEVCON Community Group, Project SPARTA, ",Continued learning,"Answer surveys, Joint initiative with other groups",,LinkedIn,Local employer
2024056,45547.43333,Negros Oriental,Philippines,Male,28,College degree,"Cisco, Coursera, Datacamp, Git Hub Learning Lab, Google Analytics, IBM Skills Gateway, Kaggle Online course, LinkedIn Learning, MicrosoftLearn, Udemy","I had an internship with a company who wanted to analyze their Facebook marketing ads and recommend campaign for discontinuation. With a group of diverse cultures, we came up with a final dashboard in Power BI showing the least performing campaign in terms of effectiveness and cost control.",Own Business/ Consultancy/Freelance,Career shifter,Work city same as residence,Bais & Bayawan City,"45,001 to 55, 000",Freelance,Mostly work from home/ fully remote,Management,"Data Analyst, Data Scientist, Business Analyst",2 to 3,None,Pandas,Azure Synapse,Airflow,"Looker, Power BI",None,None,None,Microsoft Azure,Don't know,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet","DAX (Power BI), Python","Chatgpt, Gemini",Azure Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AIM-Master of Science in Data Science, Analytics Association of the Philippines, Data Analytics Philippines, Datasense Philippines, Eskwelabs Data Science Aral-Aral Group, Power BI Philippines UG, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition",Answer surveys,Conduct Webinar Series with Certificates,"LinkedIn, Upwork, OnlineJobs.ph",Multinational employer
2024059,45547.55556,Laguna,Philippines,Male,27,Other - specify,"Coursera, Datacamp, Kaggle Online course, Udemy, Youtube bootcamp",Appscripts Scheduler,"IT, BPO, and Business Services",Career shifter,Work city different from residence,Cavite,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,Data Analyst,Data Analyst,6 to 10,Fivetran,Pandas,"AWS Redshift, Big Query, Snowflake",Airflow,"Looker, Power BI",Don't know,"Monte Carlo Data, Datafold",Don't know,Amazon Web Services (AWS),PostgreSQL,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack","Appscript (Google), DAX (Power BI), Javascript, M language (Power Query), Python, SQL, VBA","Chatgpt, Copilot, Gemini",Kaggle Notebooks,laptop,"No, I just found out now.","No, I just browsed through.",AIM-Master of Science in Data Science,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",Webinars,"LinkedIn, Indeed, Upwork, Fiverr, My network  - people I know",Local employer
2024062,45547.7125,"Quezon City, Philippines",Philippines,Male,30,College degree,"HackerRank, MicrosoftLearn, Udemy",Power BI dashboard. But currently working/learning DE using Azure Platform. ,,Career shifter,Work city different from residence,Makati,"65,001 to 75,000",Full-time,Mostly work from home/ fully remote,Data Analyst,Business Analyst,4 to 5,Azure Databricks,"Pandas, Spark",Databricks,None,"Power BI, Tableau",None,None,None,Microsoft Azure,PostgreSQL,"Excel, MS Teams","DAX (Power BI), Python, SQL",Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Volunteer for group initiatives",,LinkedIn,Multinational employer
2024064,45547.72292,"Paranaque, Philippines",Philippines,Male,27,College degree,"Freecodecamp, LinkedIn Learning, MicrosoftLearn","Sanction screening ETL and API, data warehouse implementation ",Real estate,Professional,Work city different from residence,Pasay,"55,001 to 65,000",Full-time,100% onsite,Data Engineer,Data Analyst,6 to 10,Ssis,"Pandas, Ssis",Sql server,Sql server agent,Power BI,None,None,None,None,None,"Excel, OneDrive, MS Teams","DAX (Power BI), M language (Power Query), Python, SQL",Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines, Java User Group Philippines, Python Philippines, R User Group - Philippines",Network,"Mentor, Regularly post content, Resource for specific topic, Co-training/ Training",,"LinkedIn, OnlineJobs.ph",Local employer
2024065,45547.73194,Baguio,Philippines,Male,29,College degree,Datacamp,None,"IT, BPO, and Business Services",Professional,Work city same as residence,Baguio,"75,001 to 85,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Data Engineer, Business Analyst",2 to 3,,,Snowflake,,"Looker, Power BI",,,,Snowflake,,"Google sheets, Excel, Google Drive, OneDrive, MS Teams",DAX (Power BI),Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Volunteer for group initiatives, Volunteer to speak in events",,"LinkedIn, OnlineJobs.ph",Multinational employer
2024068,45547.8,"Lipa City, Philippines",Philippines,Male,24,College degree,"Datacamp, LinkedIn Learning",Statistical Analysis,"IT, BPO, and Business Services",Professional,Work city different from residence,Makati City,"15,001 to 25,000",Full-time,Hybrid,Data Analyst,Data Analyst,11 to 30,Don't know,None,None,None,None,None,None,None,Don't know,None,"Excel, OneDrive, MS Teams, Slack",Python,Chatgpt,N/A,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, R User Group - Philippines","Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Sponsor/Invest",More meetups,"LinkedIn, Jobstreey",Local employer
2024073,45547.89514,"Quezon City, Philippines",Philippines,Female,38,College degree,Coursera,A dashboard for an analysis for our finance department head,Healthcare,Career shifter,Work city same as residence,Work from home,"35,001 to 45,000",Full-time,Mostly work from home/ fully remote,Data Analyst,Data Analyst,6 to 10,None,None,Big Query,Don't know,Tableau,None,None,None,Don't know,MongoDB,"Google sheets, Dropbox, Google Drive, Monday.com, Slack, Discord",None of these,Chatgpt,None,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Lead a study group, Volunteer for group initiatives",,"LinkedIn, Jobstreet",Multinational employer
2024076,45548.30069,"Antipolo City, Philippines",Philippines,Male,30,College degree,"Coursera, LinkedIn Learning, Udemy, W3Schools, YouTube Video",Face Recognition using MTCNN and sklearn,"IT, BPO, and Business Services",Career shifter,Work city different from residence,"Taytay, Rizal","15,001 to 25,000",Full-time,100% onsite,Software Engineer,"Software Engineer, Machine Learning Engineer, Developer",2 to 3,"Don't know, None","Pandas, Don't know",None,None,None,None,Don't know,Don't know,Amazon Web Services (AWS),,"Google sheets, Google Drive, Zoom, MS Teams, Discord","Javascript, Python, SQL","Chatgpt, Gemini",,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AIM-Master of Science in Data Science, Data Science Philippines, Data Science Philippines Discussion Group (Moderated)",,,,My network  - people I know,Local employer
2024081,45548.78611,"Quezon City, Philippines",Philippines,Female,46,Master's degree,"Datacamp, W3Schools, Youtube bootcamp",Management of the implementation of a radiation monitoring information system,Government research agency,Career shifter,Work city same as residence,Quezon City,"55,001 to 65,000",Full-time,100% onsite,Academic,"Management, Data Analyst, Data Scientist",1 - Just me,Don't know,Just Excel,None,None,Excel,None,None,None,Microsoft Azure,None,"Google sheets, Excel, Google Drive, OneDrive, MS Teams",Python,"No, I do not use AI currently",,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines","Career advancement, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Mentor, Resource for specific topic, Co-training/ Training",,"LinkedIn, My network  - people I know",
